鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
大安區,房地(土地+建物)+車位,復興南路二段31~60號,4.99,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1090320,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1090803,77.74000000000001,1,1,1,有,有,22450000,288783,升降機械,0.0,2400000,,RPOOMLTLRHPFFFA66DA,30.71,1.51,3.37,有
大安區,房地(土地+建物)+車位,復興南路二段31~60號,6.05,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1090804,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1090803,91.21000000000001,1,1,1,有,有,25700000,281767,升降機械,0.0,2400000,,RPPOMLTLRHPFFFA76DA,0.0,0.0,0.0,有
大安區,房地(土地+建物)+車位,復興南路二段31~60號,6.1,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1090731,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1090803,91.18,1,1,1,有,有,26400000,289537,升降機械,0.0,2400000,,RPQOMLTLRHPFFFA86DA,95.26,6.05,10.07,有
大安區,房地(土地+建物),復興南路二段31~60號,3.25,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1090731,土地1建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1090803,37.489999999999995,1,1,1,有,有,12760000,340357,,0.0,0,,SPQOMLTLRHPFFFA96DA,19.09,0.36,3.29,有
大安區,房地(土地+建物),復興南路二段31~60號,6.05,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1090731,土地1建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1090803,91.28,1,1,1,有,有,26800000,293602,,0.0,0,,TPQOMLTLRHPFFFA07DA,37.89,3.21,3.39,有
大安區,房地(土地+建物),復興南路二段31~60號,4.96,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1070424,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1090803,58.010000000000005,1,1,1,有,有,19500000,336149,,0.0,0,,RPUOMLTLRHPFFFA27DA,30.71,1.44,3.37,有
大安區,房地(土地+建物),復興南路二段31~60號,4.96,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1061110,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1090803,58.010000000000005,1,1,1,有,有,18580000,320290,,0.0,0,,RPVOMLTLRHPFFFA37DA,30.71,1.44,3.37,有
大安區,房地(土地+建物),復興南路二段31~60號,5.23,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1090909,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1090803,60.58,1,1,1,有,有,19920000,328821,,0.0,0,,RPVOMLSLRHPFFFA27DA,32.48,1.16,3.38,有
大安區,房地(土地+建物),復興南路二段31~60號,4.96,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1090911,土地1建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1090803,58.08,1,1,1,有,有,19300000,332300,,0.0,0,,RPWOMLSLRHPFFFA37DA,30.71,1.51,3.37,有
大安區,房地(土地+建物),復興南路二段31~60號,4.96,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1090428,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1090803,58.08,1,1,1,有,有,19380000,333678,,0.0,0,,RPXOMLSLRHPFFFA47DA,30.71,1.51,3.37,有
大安區,房地(土地+建物),復興南路二段31~60號,3.25,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1060327,土地1建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1090803,37.489999999999995,1,1,1,有,有,12680000,338224,,0.0,0,,RPOPMLSLRHPFFFA66DA,19.09,0.36,3.29,有
大安區,房地(土地+建物)+車位,復興南路二段31~60號,6.1,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1070919,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1090803,91.18,1,1,1,有,有,25500000,279667,坡道機械,0.0,2400000,,RPPPMLSLRHPFFFA76DA,38.28,2.48,3.39,有
大安區,房地(土地+建物)+車位,復興南路二段31~60號,5.07,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1061025,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1090803,78.53999999999999,1,1,1,有,有,21000000,267380,升降機械,0.0,2400000,,RPPNMLTLRHPFFFA66DA,31.34,1.31,3.38,有
士林區,房地(土地+建物)+車位,士商路1~30號,41.74,都市：其他:第三種住宅區。,,,1090820,土地1建物2車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890328,183.94,3,2,2,有,有,37500000,203871,坡道平面,0.0,0,其他增建;,RPQNMLSJIIPFFEA18DA,87.69,0.0,10.06,有
士林區,房地(土地+建物),中正路421~450號,26.91,都市：其他:第壹種商業區(依都市計畫說明書圖規定辦理，始得作第壹種商業區使用)。,,,1090723,土地2建物1車位0,五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890211,183.53,3,2,2,有,有,30500000,166185,,0.0,0,其他增建;,RPSNMLSJIIPFFEA38DA,99.45,0.0,9.18,有
士林區,房地(土地+建物),重慶北路四段211~240號,12.67,都市：其他:第三種住宅區。,,,1090914,土地2建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060413,81.16,1,1,1,有,有,13800000,170034,,0.0,0,,RPSQMLRJIIPFFEA58DA,45.06,4.38,4.4,有
北投區,房地(土地+建物),公路391~420號,15.41,都市：其他:第三種住宅區。,,,1090814,土地1建物1車位0,三層，電梯樓梯間,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870729,70.66,2,2,2,有,有,10500000,148599,,0.0,0,,RPWNMLSLQHPFFEA07DA,52.27,2.4,3.1,有
南港區,房地(土地+建物)+車位,東明街91~120號,37.58,都市：其他:第一種商業區。,,,1090831,土地1建物1車位2,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990805,336.49,3,2,2,有,有,49500000,147107,其他,0.0,0,,RPQPMLSJIIPFFDA28DA,135.12,16.24,14.96,有
